ok voila a quoi ressemble le fichier : 
year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2021,Bahrain Grand Prix,Hamilton,2,1,1,1,25.0,56,1:32:03.897,5523897,44,4,1:34.015,207.235,Finished
2021,Bahrain Grand Prix,Verstappen,1,2,2,2,18.0,56,+0.745,5524642,41,2,1:33.228,208.984,Finished
2021,Bahrain Grand Prix,Bottas,3,3,3,3,16.0,56,+37.383,5561280,56,1,1:32.090,211.566,Finished
2021,Bahrain Grand Prix,Norris,7,4,4,4,12.0,56,+46.466,5570363,38,6,1:34.396,206.398,Finished
2021,Bahrain Grand Prix,Pérez,0,5,5,5,10.0,56,+52.047,5575944,44,3,1:33.970,207.334,Finished
2021,Bahrain Grand Prix,Leclerc,4,6,6,6,8.0,56,+59.090,5582987,39,11,1:34.988,205.112,Finished
2021,Bahrain Grand Prix,Ricciardo,6,7,7,7,6.0,56,+66.004,5589901,36,10,1:34.932,205.233,Finished
2021,Bahrain Grand Prix,Sainz,8,8,8,8,4.0,56,+67.100,5590997,48,7,1:34.509,206.151,Finished
2021,Bahrain Grand Prix,Tsunoda,13,9,9,9,2.0,56,+85.692,5609589,38,8,1:34.761,205.603,Finished
2021,Bahrain Grand Prix,Stroll,10,10,10,10,1.0,56,+86.713,5610610,31,9,1:34.865,205.378,Finished
2021,Bahrain Grand Prix,Pilote Inconnu,14,11,11,11,0.0,56,+88.864,5612761,45,14,1:35.192,204.672,Finished
2021,Bahrain Grand Prix,Pilote Inconnu,12,12,12,12,0.0,55,\N,\N,32,13,1:35.122,204.823,+1 Lap
2021,Bahrain Grand Prix,Ocon,16,13,13,13,0.0,55,\N,\N,33,15,1:35.250,204.548,+1 Lap
2021,Bahrain Grand Prix,Russell,15,14,14,14,0.0,55,\N,\N,40,12,1:35.036,205.008,+1 Lap
2021,Bahrain Grand Prix,Pilote Inconnu,20,15,15,15,0.0,55,\N,\N,26,16,1:35.566,203.871,+1 Lap
2021,Bahrain Grand Prix,Pilote Inconnu,18,16,16,16,0.0,55,\N,\N,38,18,1:36.134,202.667,+1 Lap
2021,Bahrain Grand Prix,Gasly,5,17,17,17,0.0,52,\N,\N,48,5,1:34.090,207.069,Retired
2021,Bahrain Grand Prix,Pilote Inconnu,17,18,18,18,0.0,51,\N,\N,16,19,1:36.602,201.685,Retired
2021,Bahrain Grand Prix,Alonso,9,\N,R,19,0.0,32,\N,\N,31,17,1:36.063,202.816,Brakes
2021,Bahrain Grand Prix,Pilote Inconnu,19,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,Accident
2021,Emilia Romagna Grand Prix,Verstappen,3,1,1,1,25.0,63,2:02:34.598,7354598,60,2,1:17.524,227.960,Finished
2021,Emilia Romagna Grand Prix,Hamilton,1,2,2,2,19.0,63,+22.000,7376598,60,1,1:16.702,230.403,Finished
2021,Emilia Romagna Grand Prix,Norris,7,3,3,3,15.0,63,+23.702,7378300,63,3,1:18.259,225.819,Finished
2021,Emilia Romagna Grand Prix,Leclerc,4,4,4,4,12.0,63,+25.579,7380177,60,6,1:18.379,225.473,Finished
2021,Emilia Romagna Grand Prix,Sainz,11,5,5,5,10.0,63,+27.036,7381634,60,7,1:18.490,225.154,Finished
2021,Emilia Romagna Grand Prix,Ricciardo,6,6,6,6,8.0,63,+51.220,7405818,54,12,1:19.341,222.739,Finished
2021,Emilia Romagna Grand Prix,Gasly,5,7,7,7,6.0,63,+52.818,7407416,52,9,1:18.994,223.718,Finished
2021,Emilia Romagna Grand Prix,Stroll,10,8,8,8,4.0,63,+56.909,7411507,59,8,1:18.782,224.320,Finished
2021,Emilia Romagna Grand Prix,Ocon,9,9,9,9,2.0,63,+65.704,7420302,62,15,1:19.422,222.512,Finished
2021,Emilia Romagna Grand Prix,Alonso,15,10,10,10,1.0,63,+66.561,7421159,62,14,1:19.417,222.526,Finished
2021,Emilia Romagna Grand Prix,Pérez,2,11,11,11,0.0,63,+67.151,7421749,62,13,1:19.396,222.585,Finished
2021,Emilia Romagna Grand Prix,Tsunoda,20,12,12,12,0.0,63,+73.184,7427782,49,4,1:18.334,225.603,Finished
2021,Emilia Romagna Grand Prix,Pilote Inconnu,16,13,13,13,0.0,63,+94.773,7449371,62,5,1:18.353,225.548,Finished
2021,Emilia Romagna Grand Prix,Pilote Inconnu,17,14,14,14,0.0,62,\N,\N,57,16,1:19.470,222.378,+1 Lap
2021,Emilia Romagna Grand Prix,Pilote Inconnu,0,15,15,15,0.0,61,\N,\N,59,10,1:19.074,223.491,Gearbox
2021,Emilia Romagna Grand Prix,Pilote Inconnu,18,16,16,16,0.0,61,\N,\N,58,11,1:19.193,223.156,+2 Laps
2021,Emilia Romagna Grand Prix,Pilote Inconnu,19,17,17,17,0.0,61,\N,\N,55,17,1:20.402,219.800,+2 Laps
2021,Emilia Romagna Grand Prix,Bottas,8,\N,R,18,0.0,30,\N,\N,30,19,1:28.485,199.721,Collision
2021,Emilia Romagna Grand Prix,Russell,12,\N,R,19,0.0,30,\N,\N,28,18,1:26.543,204.203,Collision
2021,Emilia Romagna Grand Prix,Pilote Inconnu,14,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,Collision
2021,Spanish Grand Prix,Hamilton,1,1,1,1,25.0,66,1:33:07.680,5587680,54,5,1:20.665,208.640,Finished
